formula,pearson,space,volume,density,band_gap,efermi,formation_energy_per_atom
Ag2WO4,orthorhombic,34.0,767.2,8.027,1.7809,1.45830551,-1.345724475654761
Bi2S3,orthorhombic,62.0,501.7,6.78,1.361799999999999,4.14431336,-0.414615469187504
BiO2,cubic,225.0,164.1,9.751,0.0,5.42538399,-1.3577277800000012
CeO2,cubic,225.0,158.5,7.215,1.8647,5.05743538,-3.9271761966666663
Co2V2O7,monoclinic,14.0,517.2,4.261,1.8533,1.736854189999999,-1.992428717045453
Co3O4,cubic,227.0,533.4,5.997,0.0,4.04879594,-1.279858292857144
CoB,orthorhombic,62.0,63.23,7.327,0.0,7.45021879,-0.297524255
CoFe2O4,cubic,227.0,587.8,5.3,1.5511,2.90527891,-1.5725015085714271
CoO,cubic,225.0,77.3,6.438,0.0,4.72101042,-1.23491615
Cu1.8S,cubic,,173.3,5.614,,,
Cu2O,cubic,224.0,77.8,6.1,0.512699999999999,4.17791244,-0.6445054383333331
Cu7S4,orthorhombic,62.0,685.1,5.556,0.0,5.75828951,-0.23135375534090802
CuFe2O4,cubic,227.0,586.4,5.42,0.0,3.48319122,-1.407231362142857
CuMn2O4,cubic,227.0,583.7,0.675,0.0,4.23224712,-1.665176083694581
CuMnO2,monoclinic,12.0,92.2,5.418,0.17869999999999903,3.72212939,-1.539728060732759
CuMoO4,triclinic,2.0,133.5,5.56,0.44069999999999904,1.91073747,-1.577344520000001
CuPt,cubic,225.0,54.7,15.703,0.0,6.5617724,-0.18247179999999802
Fe2O3,cubic,213.0,582.5,4.9,0.0,2.88380023,-1.7070913529999991
Fe3C,orthorhombic,62.0,155.4,7.675,0.0,6.6711573600000005,0.056710330625000006
Fe3O4,cubic,227.0,589.3,5.218,0.0,4.15525912,-1.6295829685714271
FeLaO3,orthorhombic,62.0,242.8,6.64,1.433399999999999,5.39078712,-2.825153782000001
HfO2,monoclinic,14.0,138.3,10.111,4.0165,3.14741998,-4.019811040833332
IrO2,tetragonal,136.0,63.8,11.666,0.0,5.64300938,-1.260892841666664
LaCoO3,trigonal,166.0,335.6,7.299,0.9497000000000001,5.95606719,-2.599926138
MgFe2O4,cubic,227.0,587.6,4.521,0.0,3.1273603,-2.165017080714286
Mn3O4,tetragonal,141.0,314.4,4.84,0.8134999999999991,3.2345749,-2.050409240541872
MnCo2O4,cubic,227.0,565.4,5.564,0.0,3.26378223,-1.4581127304187191
MnFe2O4,cubic,227.0,613.9,5.21,0.9977,4.18816085,-1.836117058275863
MnO2,Monoclinic,12.0,428.9,5.05,0.540999999999999,2.60980021,-1.8225279240325691
MnOOH,tetragonal,62.0,687.8,3.8,0.0,3.01494129,-1.734264161670258
Mo3Se4,monoclinic,148.0,146.5,6.842,0.0,4.30780209,-0.5819315730357171
MoO3,monoclinic,11.0,100.5,4.758,1.6843,1.04782999,-1.8967097490625
Ni3S2,trigonal,155.0,203.7,5.874,0.0,7.36047974,-0.5714508529999991
NiFe2O4,cubic,227.0,579.5,5.3,0.0,3.56904485,-1.5086928378571431
ReS2,triclinic,2.0,219.3,7.58,1.3202,4.02373717,-0.902182740833333
V2O5,Orthorhombic,59.0,175.71849611799263,3.437530505956599,2.161,-0.53606004,-2.2890218171428582
V6O13,monoclinic,12.0,436.8,3.905,0.5218,2.44990074,-2.39171737868421
