formula,theoretical
Ac3Cl,TRUE
Sr4Ca4Fe3(CoO4)5,TRUE
MnP6(WO8)3,TRUE
Sr4Sn2Se9,FALSE
Na14Mg5Ti3Si6(SO8)6,TRUE
NClO4,FALSE
Li7V3(SiO6)2,TRUE
Na3Ir(NO2)6,FALSE
K8Zr3Si12SnO40,TRUE
ZnCu2SiTe4,FALSE
FeNiSe4,TRUE
Fe3P6H14(NO8)3,TRUE
Ca3MgFe2(CO3)6,TRUE
LiPrMn4O12,TRUE
Ba5Dy8Zn4O21,FALSE
AgH2SNO3,FALSE
BaNiF6,FALSE
Rb6Te2O9,FALSE
Li3V2F9,TRUE
Lu2MgV2O8,TRUE
CsAg(BH)10,FALSE
RbCeSe2,FALSE
CeYPd6,TRUE
Ac2ZnIr,TRUE
SbTe8Cl6O6F31,TRUE
Co4Os,TRUE
Nd3NiGe2,TRUE
Sr3(BiN2)2,TRUE
Cs2As2Se6O,FALSE
MgMn2V2(BiO5)2,TRUE
Ba2Ca3Tl2V4O12,TRUE
Nd5Sn3,FALSE
CsCo(CO)4,FALSE
Li3BiN2,TRUE
Li2Ce2Ge3,FALSE
Dy2TlHg,TRUE
NdPd3,FALSE
Nd5Si10NiRu3,TRUE
Ta2SnO6,FALSE
Na3LaY(PO4)3,TRUE
Li2Fe(BO3)2,TRUE
PmSnPt2,TRUE
PrMg,FALSE
Li4Nb3Co3(SnO8)2,TRUE
CrB4,FALSE
NdV2(FeCo)5,TRUE
Tm(MnSi)2,TRUE
YHfF7,TRUE
Sr3Ca5Fe4(CoO6)4,TRUE
Dy4Bi2S9,FALSE
Tl2InPb,TRUE
TiPbO3,FALSE
Cr2TeO6,FALSE
K2RuNCl5O,FALSE
Na2SiSnGe(PO6)2,TRUE
Zn3Fe4(SbO4)6,TRUE
Ba2InOsO6,TRUE
Na4ScGaSi(PO6)2,TRUE
Dy(FeSi)2,FALSE
CsSnN,TRUE
Dy12Co5Bi,TRUE
Na8BeAl4Si7(BrO12)2,TRUE
Ta2Co(ReSe4)2,TRUE
Li4Ti15O32,TRUE
Cr4Si2Cl2O7,FALSE
Ce(IO3)2,TRUE
Gd2CF2,FALSE
Ga(SbBr)4,FALSE
Na4Mg3P4O15,FALSE
Mg6MnV,TRUE
BaMg2H8Os,FALSE
Na3ScBr6,FALSE
ScC6(O2F3)3,FALSE
Ta4FeCoO12,TRUE
ZrCuSiP,FALSE
MgInHg2,TRUE
Dy(NiB)2,FALSE
LaScGe,FALSE
Tm2IrPt,TRUE
ZnP4,FALSE
CsK2AlI6,TRUE
Os4C13SO13,FALSE
Si2Hg6O7,FALSE
Sc6Al16Rh7,FALSE
Nb3NiSe6,FALSE
U(AlFe2)4,FALSE
CoPNO5,FALSE
NaIn2,TRUE
Mg6TiNb,TRUE
Co7O12,TRUE
Fe3C7O19,TRUE
MnIn3,TRUE
BaSm2FeS5,FALSE
CaTi(SiO3)2,TRUE
NdDyMg2,TRUE
Ba3Sr5Co2(CuO4)6,TRUE
Na2O9,TRUE
LaYMg14,TRUE
SrEuMn4O12,TRUE
Hg6P4PbCl6,FALSE
TaGeRh,FALSE
K4SnSb2F14,FALSE
Nb(Br3O)2,TRUE
Mo2C4NO7,TRUE
Ce3Gd,TRUE
Pr3(GaNi3)2,FALSE
P3CN2Cl13,FALSE
La4CdRu,FALSE
Cs2NdCuI6,TRUE
Rb2Th(PSe3)3,FALSE
TbEu4S5,TRUE
K2Mn2O3,FALSE
KTm,TRUE
KRbNa2,TRUE
ZnPbO3,FALSE
Na2CaTi3Si2(SO6)4,TRUE
Er2Si5Ni3,FALSE
YCd2,TRUE
KPd2O3,FALSE
Li2CoCSO7,TRUE
Nd4Mn(NiO4)3,TRUE
CsGa2(Se2O7)2,FALSE
Zn(NCl2)2,FALSE
Cs4Th2P5Se17,FALSE
NiMo8P3,TRUE
Nd4Ge7,FALSE
KMg6Ti,TRUE
RbSmSe2,FALSE
Zn2InCuS4,TRUE
MgBiF5,TRUE
Li4Ti3V2(Fe2O9)2,TRUE
UI4,FALSE
CsHPt2(SO4)4,FALSE
SiH8(CI)4,FALSE
La2IrAu,TRUE
Sr2H3I,FALSE
Zn2W2O5,TRUE
LiBi2Pd,TRUE
Sm2Ge(BO4)2,FALSE
Mg7Co,TRUE
Ho2Fe17N3,TRUE
USe2O7,FALSE
Li4Ni8O9F7,TRUE
CS(NO)2,FALSE
BeGaRh2,TRUE
BaSrIn2,TRUE
Li2Cr2P2O9,TRUE
Ag6Au2Se3S,TRUE
SrEuYNbO6,TRUE
BaLa4Cu5O12,TRUE
ZnBi3,TRUE
I,FALSE
Na4Zn2Ga2SiS5O24,TRUE
Pr7(BrO6)3,TRUE
Bi14Mo5O36,FALSE
Ba2Pr4Mg(CuO5)2,TRUE
Li2Cr(Si2O5)2,TRUE
RbBe2P3O10,FALSE
Rb2Cr2O5,TRUE
H24Pt(N4Cl)2,FALSE
ZnH20C4(N5O6)2,FALSE
Ti6Fe8O21,TRUE
Er3Pt4,FALSE
Sr4IBrN2,TRUE
La6Sm2Cr3(FeO4)5,TRUE
Ca4Zn51,TRUE
NbCrFe,TRUE
LiDyHg2,TRUE
Pm2AgRh,TRUE
Zn2P2O7,FALSE
Al6H16C5(Cl2O)6,FALSE
CeAg6(NO3)9,FALSE
NbFe,TRUE
SrV7N10,TRUE
Nd3Ga2,FALSE
MnPH2CO6,FALSE
Cr(FeAs3)2,TRUE
GaFe2,TRUE
Fe2Re3,FALSE
Mg3Fe2O5,TRUE
Nb8Pb6O25,TRUE
Na5La3Hf(PO4)6,TRUE
DyTiFe11N,TRUE
Na3YH6(CO4)3,FALSE
Cs2PbCl6,FALSE
Li2FeCu(CN)6,FALSE
Er3Co2Si3,TRUE
Rb2WSO4,TRUE
FeCu8Sb3S13N6,TRUE
Sr2MgTi2O6,TRUE
K2CaV4H14O19,FALSE
K9U6BiO24,FALSE
Nd2Mo4O15,FALSE
In3Pd,TRUE
ZnH12C4N5Cl3,FALSE
Na6WN4,TRUE
USnPd,FALSE
MgPb4(WO5)2,TRUE
RbAl(SeO4)2,TRUE
K2LiFeF6,TRUE
Ba3GdIrRuO9,TRUE
K2CoPCO7,TRUE
Nb2NiS4,FALSE
Cs2MnV2(BrO3)2,FALSE
La3InC,FALSE
Ba5Ru2O11,TRUE
Cs2H6CO6,FALSE
Pm2CoIr,TRUE
Mg6MnCoO8,TRUE
K(VS2)2,TRUE
GdNi2B2C,FALSE
Ba7In2(Se3F4)2,FALSE
Ca2Ag7,FALSE
Y2CI2,TRUE
ScCoB4,FALSE
NaGaCl4,FALSE
PrSnRu,FALSE
Cs3Mg3In(PO3)12,TRUE
Sr(AuO2)2,FALSE
LiBH5N,FALSE
Y3CBr3,TRUE
In2Cu2SiS6,FALSE
K9In9GeSb22,TRUE
Pr3NbO7,FALSE
TiSnPd2,TRUE
Cu2Te2Br2O5,FALSE
Na3Fe2P(CO4)4,TRUE
EuCrTeO6,FALSE
Na4Ni(PO4)6,FALSE
U(AlC)3,FALSE
Al2H10S3O17,FALSE
LaZn,FALSE
HoInAu,FALSE
Cs3Mn4(PO3)12,FALSE
CeSiGePd2,TRUE
RuBr3,FALSE
SrEuNbWO6,TRUE
Al2RuPt,TRUE
BaLaInO4,TRUE
KNdZr4O12,TRUE
Si6Sb2H36(C4O)3,FALSE
BaLaCoSbO6,TRUE
NdEuAg2,TRUE
Li13Mn2O12,TRUE
Sm4AlSi5(NO)7,TRUE
AsRuS,TRUE
MnNi5N4,TRUE
K3Nb2Cu3Se8,FALSE
Ba2NiN2,TRUE
BaNa5Ca7P6(O8F)3,TRUE
U2Ga10CoNi,TRUE
Ti3Co3O,FALSE
Ca2ZrTi(SiO5)2,TRUE
SrAgP,FALSE
TmZn3,FALSE
Hg3HN2O7,FALSE
Dy3S3N,FALSE
Mg3Si2O9,FALSE
Li3Ge3(MoO6)2,TRUE
Ho4InIr,FALSE
Ce9GdO20,TRUE
Co6P7O24,TRUE
Yb2TlIn,TRUE
LiMg6GaO8,TRUE
Ca11(OsN5)2,TRUE
LiPrZn2,TRUE
Y(CuTe)3,TRUE
ErCo3Ni2,TRUE
La2MgCd,TRUE
MgFeAuO2,TRUE
RbCrCoF6,TRUE
CeCoGe2,FALSE
TiMoS3,TRUE
K2AlSO4F3,FALSE
BaMg30SnO32,TRUE
KV2(PO5)3,FALSE
NpV4O12,TRUE
La3MoO7,FALSE
MgCuBiO5,TRUE
Li5VCr3O8,TRUE
Sr4La2Mn3(IrO6)3,TRUE
Cr(CdN)3,TRUE
Li3VSiCO7,TRUE
Na4Mg(WO4)2,TRUE
GdCrB4,FALSE
NaNbSi3Ge3(SO8)3,TRUE
BaMn4O7,TRUE
LiGaAs2O7,FALSE
BeAlPt2,TRUE
GaSe2,FALSE
Hf15Mo11Se2,TRUE
Eu2CdGe,TRUE
Ba2GdCoCu2O7,TRUE
MgTi4(CuS4)2,TRUE
IrRu3,TRUE
ScCu3HgSe4,TRUE
Ni3Se3O10,FALSE
Y2ReC2,FALSE
GeRh3,TRUE
CaCu3(P2O7)2,TRUE
MgCr2(PO4)2,TRUE
Na2In4Ga4SiS11O48,TRUE
Tm2MgV2O8,TRUE
Li4Ni7(OF7)2,TRUE
YB2Os,FALSE
NaTl2InF6,TRUE
La2CuO4,FALSE
Zr2BeTc,TRUE
Mg6GaCu,TRUE
BiBCl,TRUE
Ce2Ni12P5,TRUE
La(Al10Cr)2,FALSE
PrSI,TRUE
LaS,FALSE
CrP3(HO5)2,FALSE
Ag2H12S(NO)4,FALSE
Mn(Ni9O10)2,TRUE
Li2RhF6,FALSE
Na2CuCSO7,TRUE
ScAgGe,FALSE
PuTcB2,FALSE
Ni(SO4)2,TRUE
Ce3Zn11,FALSE
ZnCuMo2O7,TRUE
Ce2AlGaNi2,TRUE
Li3Cr13Ni3(SO4)24,TRUE
Na6NbAl3Si4(SO12)2,TRUE
Zr9V4S,FALSE
Mn5(P3O11)2,TRUE
ZrTiCuS4,TRUE
Sc2S3,FALSE
Sr4Bi14O25,TRUE
Ce(MnCo2)4,FALSE
BaMg6Zn,TRUE
Dy(CrSi)2,FALSE
La5Pb3Se,FALSE
Ce2ReC2,FALSE
Bi4(SeS)3,TRUE
PN2,FALSE
La7(FeO8)2,TRUE
Ni(TeO3)4,TRUE
K29NaHg48,FALSE
TbRu3,TRUE
Ba3MgNb2CoO9,TRUE
RbMg6Fe,TRUE
Cs4CdNi3F12,FALSE
Mg2VCr3S8,TRUE
