formula,pearson,space,volume,density,band_gap,efermi,formation_energy_per_atom
Ag2Mo3O10,orthorhombic,,975.9,,,,
Ag2S,monoclinic,14.0,227.2,7.2,1.5694,4.96774355,-0.11816704427083301
Ag2Se,orthorhombic,19.0,237.6,7.0,0.0,3.05014521,-0.13102417302083
Ag2WO4,orthorhombic,34.0,767.2,8.027,1.7809,1.45830551,-1.345724475654761
Ag3PO4,cubic,218.0,217.4,6.394,0.17849999999999902,2.1094709,-1.406864123705355
AgBiS2,cubic,225.0,180.0,7.03,0.5212,4.73724242,-0.28982440932292103
AgBr,cubic,225.0,192.6,6.474,0.730399999999999,1.55338318,-0.6596210383333321
AgCl,cubic,225.0,170.9,5.556,0.9522,1.49474467,-0.568439933749999
AgI,hexagonal,186.0,137.1,5.69,1.3759000000000001,1.27372464,-0.46775989833333204
AgVO3,monoclinic,12.0,504.2,5.5,1.628299999999999,1.5719148600000001,-1.754956429833332
Au,cubic,225.0,67.9,19.3,0.0,5.84744474,0.0
BaTiO3,tetragonal,99.0,64.4,6.012,1.727999999999999,3.06901686,-3.490321403666664
Bi2Fe4O9,orthorhombic,55.0,402.9,6.473,1.2366,2.69828597,-1.673642153333334
Bi2MoO6,orthorhombic,33.0,489.1,8.26,2.129299999999999,3.7606227,-1.857507857499999
Bi2S3,orthorhombic,62.0,501.7,6.78,1.361799999999999,4.14431336,-0.414615469187504
Bi2Se3,trigonal,166.0,425.0,7.676,0.3769,3.68568557,-0.43407693543750203
Bi2WO6,orthorhombic,61.0,487.7,9.496,1.913999999999999,3.72162066,-1.956552777222222
BiFeO3,trigonal,160.0,186.6,8.353,1.7783,4.44748023,-1.640829873
BiOBr,tetragonal,129.0,124.9,8.107,2.2251,2.66047785,-1.555466066666671
BiOCl,tetragonal,129.0,111.6,7.717,2.5681000000000003,3.42325128,-1.695745048333333
BiOI,tetragonal,129.0,120.6,9.689,1.472999999999999,4.12884893,-1.334933545
BiVO4,monoclinic,15.0,309.5,6.951,2.2971,3.3622031,-2.134685371666668
BN,cubic,216.0,47.4,3.478,4.4506,7.49445659,-1.335625025625001
CdS,hexagonal,186.0,99.8,4.82,1.125,0.90711455,-0.7766083889062491
CdSe,cubic,216.0,224.4,5.664,0.5096,0.4845965,-0.8370525111718741
Ce(OH)CO3,orthorhombic,,315.2,4.576,,,
Ce(ZrO4),cubic,198.0,1166.6,6.726,1.7484000000000002,4.67646496,-3.8077108079166653
Ce2(MoO4)3,Monoclinic,15.0,500.35655051802746,5.044738922512463,0.012900000000000002,4.14567547,-2.5820495441176483
